GESLO,GESLO_NORM,OPIS
San Pedro del Pinatar,SAN PEDRO DEL PINATAR,mesto v Španiji
San Quirico del Vallés,SAN QUIRICO DEL VALLES,mesto v Španiji
San Roque,SAN ROQUE,mesto v Španiji
San Sebastián,SAN SEBASTIAN,mesto v Španiji
San Sebastián de los Reyes,SAN SEBASTIAN DE LOS REYES,mesto v Španiji
San Vicente del Raspeig,SAN VICENTE DEL RASPEIG,mesto v Španiji
San Vicente dels Horts,SAN VICENTE DELS HORTS,mesto v Španiji
Sangenjo,SANGENJO,mesto v Španiji
Sanlúcar de Barrameda,SANLUCAR DE BARRAMEDA,mesto v Španiji
Sant Adrià de Besòs,SANT ADRIA DE BESOS,mesto v Španiji
Sant Andreu de la Barca,SANT ANDREU DE LA BARCA,mesto v Španiji
Sant Boi de Llobregat,SANT BOI DE LLOBREGAT,mesto v Španiji
Sant Carles de la Ràpita,SANT CARLES DE LA RAPITA,mesto v Španiji
Sant Celoni,SANT CELONI,mesto v Španiji
Sant Cugat del Vallès,SANT CUGAT DEL VALLES,mesto v Španiji
Sant Feliu de Guíxols,SANT FELIU DE GUIXOLS,mesto v Španiji
Sant Joan Despí,SANT JOAN DESPI,mesto v Španiji
Sant Josep (Hospitalet de Llobregat),SANT JOSEP (HOSPITALET DE LLOBREGAT),mesto v Španiji
Sant Martí,SANT MARTI,mesto v Španiji
Santa Brígida,SANTA BRIGIDA,mesto v Španiji
Santa Coloma de Gramanet,SANTA COLOMA DE GRAMANET,mesto v Španiji
Santa Coloma de Gramenet,SANTA COLOMA DE GRAMENET,mesto v Španiji
Santa Cruz de La Palma,SANTA CRUZ DE LA PALMA,mesto v Španiji
Santa Cruz de Tenerife,SANTA CRUZ DE TENERIFE,mesto v Španiji
Santa Eulalia,SANTA EULALIA,mesto v Španiji
Santa Eulalia del Río,SANTA EULALIA DEL RIO,mesto v Španiji
Santa Eulària des Riu,SANTA EULARIA DES RIU,mesto v Španiji
Santa Fe,SANTA FE,mesto v Španiji
Santa Lucía de Tirajana,SANTA LUCIA DE TIRAJANA,mesto v Španiji
Santa Perpetua de Mogoda,SANTA PERPETUA DE MOGODA,mesto v Španiji
Santa Perpetua de Moguda,SANTA PERPETUA DE MOGUDA,mesto v Španiji
Santa Pola,SANTA POLA,mesto v Španiji
Santa Úrsula,SANTA URSULA,mesto v Španiji
Santander,SANTANDER,mesto v Španiji
Santiago de Compostela,SANTIAGO DE COMPOSTELA,mesto v Španiji
Santomera,SANTOMERA,mesto v Španiji
Sants Montjuic,SANTS MONTJUIC,mesto v Španiji
Santurce,SANTURCE,mesto v Španiji
Sardañola del Vallés,SARDANOLA DEL VALLES,mesto v Španiji
Sarriguren,SARRIGUREN,mesto v Španiji
Sarrià Sant Gervasi,SARRIA SANT GERVASI,mesto v Španiji
Segovia,SEGOVIA,mesto v Španiji
Seseña,SESENA,mesto v Španiji
Sestao,SESTAO,mesto v Španiji
Sevilla,SEVILLA,mesto v Španiji
Siero,SIERO,mesto v Španiji
Silla,SILLA,mesto v Španiji
Sitges,SITGES,mesto v Španiji
Son Rapinya,SON RAPINYA,mesto v Španiji
Soria,SORIA,mesto v Španiji
Sueca,SUECA,mesto v Španiji
Tabernes de Valldigna,TABERNES DE VALLDIGNA,mesto v Španiji
Tacoronte,TACORONTE,mesto v Španiji
Talavera de la Reina,TALAVERA DE LA REINA,mesto v Španiji
Tarancón,TARANCON,mesto v Španiji
Tarifa,TARIFA,mesto v Španiji
Tarragona,TARRAGONA,mesto v Španiji
Tarrasa,TARRASA,mesto v Španiji
Teatro,TEATRO,mesto v Španiji
Teguise,TEGUISE,mesto v Španiji
Telde,TELDE,mesto v Španiji
Teo,TEO,mesto v Španiji
Teruel,TERUEL,mesto v Španiji
Tetuán,TETUAN,mesto v Španiji
Toledo,TOLEDO,mesto v Španiji
Tolosa,TOLOSA,mesto v Španiji
Tomares,TOMARES,mesto v Španiji
Tomelloso,TOMELLOSO,mesto v Španiji
Tordera,TORDERA,mesto v Španiji
Torelló,TORELLO,mesto v Španiji
Torre del Mar,TORRE DEL MAR,mesto v Španiji
Torre Pacheco,TORRE PACHECO,mesto v Španiji
Torredembarra,TORREDEMBARRA,mesto v Španiji
Torrejón de Ardoz,TORREJON DE ARDOZ,mesto v Španiji
Torrelavega,TORRELAVEGA,mesto v Španiji
Torrelodones,TORRELODONES,mesto v Španiji
Torremolinos,TORREMOLINOS,mesto v Španiji
Torrente,TORRENTE,mesto v Španiji
Torrevieja,TORREVIEJA,mesto v Španiji
Torrox,TORROX,mesto v Španiji
Tortosa,TORTOSA,mesto v Španiji
Totana,TOTANA,mesto v Španiji
Tres Cantos,TRES CANTOS,mesto v Španiji
Triana,TRIANA,mesto v Španiji
Tudela,TUDELA,mesto v Španiji
Tuineje,TUINEJE,mesto v Španiji
Tuy,TUY,mesto v Španiji
Tàrrega,TARREGA,mesto v Španiji
Tías,TIAS,mesto v Španiji
Ubrique,UBRIQUE,mesto v Španiji
Universidad,UNIVERSIDAD,mesto v Španiji
Usera,USERA,mesto v Španiji
Utebo,UTEBO,mesto v Španiji
Utrera,UTRERA,mesto v Španiji
Valdemoro,VALDEMORO,mesto v Španiji
Valdepeñas,VALDEPENAS,mesto v Španiji
Valencia,VALENCIA,mesto v Španiji
Vall de Uxó,VALL DE UXO,mesto v Španiji
Valladolid,VALLADOLID,mesto v Španiji
Valle de Egüés,VALLE DE EGUES,mesto v Španiji
Vallirana,VALLIRANA,mesto v Španiji
Valls,VALLS,mesto v Španiji
Vendrell,VENDRELL,mesto v Španiji
Vera,VERA,mesto v Španiji
Vic,VIC,mesto v Španiji
Vich,VICH,mesto v Španiji
Vicálvaro,VICALVARO,mesto v Španiji
Vigo,VIGO,mesto v Španiji
Viladecans,VILADECANS,mesto v Španiji
Vilanova i la Geltrú,VILANOVA I LA GELTRU,mesto v Španiji
Vilasar de Mar,VILASAR DE MAR,mesto v Španiji
Vilaseca,VILASECA,mesto v Španiji
Vilassar de Mar,VILASSAR DE MAR,mesto v Španiji
Villa de Vallecas,VILLA DE VALLECAS,mesto v Španiji
Villafranca del Panadés,VILLAFRANCA DEL PANADES,mesto v Španiji
Villagarcía de Arosa,VILLAGARCIA DE AROSA,mesto v Španiji
Villajoyosa,VILLAJOYOSA,mesto v Španiji
Villalbilla,VILLALBILLA,mesto v Španiji
Villanueva de la Cañada,VILLANUEVA DE LA CANADA,mesto v Španiji
Villanueva de la Serena,VILLANUEVA DE LA SERENA,mesto v Španiji
Villanueva del Pardillo,VILLANUEVA DEL PARDILLO,mesto v Španiji
Villanueva y Geltrú,VILLANUEVA Y GELTRU,mesto v Španiji
Villaquilambre,VILLAQUILAMBRE,mesto v Španiji
Villarreal,VILLARREAL,mesto v Španiji
Villarrobledo,VILLARROBLEDO,mesto v Španiji
Villaverde,VILLAVERDE,mesto v Španiji
Villaviciosa,VILLAVICIOSA,mesto v Španiji
Villaviciosa de Odón,VILLAVICIOSA DE ODON,mesto v Španiji
Villena,VILLENA,mesto v Španiji
Vinaroz,VINAROZ,mesto v Španiji
Vitoria,VITORIA,mesto v Španiji
Vivero,VIVERO,mesto v Španiji
Vélez Málaga,VELEZ MALAGA,mesto v Španiji
Vícar,VICAR,mesto v Španiji
Yaiza,YAIZA,mesto v Španiji
Yecla,YECLA,mesto v Španiji
Zafra,ZAFRA,mesto v Španiji
Zamora,ZAMORA,mesto v Španiji
Zaragoza,ZARAGOZA,mesto v Španiji
Zarauz,ZARAUZ,mesto v Španiji
Zizur Mayor,ZIZUR MAYOR,mesto v Španiji
Águilas,AGUILAS,mesto v Španiji
Área Metropolitana de Barcelona,AREA METROPOLITANA DE BARCELONA,mesto v Španiji
Área metropolitana de Bilbao,AREA METROPOLITANA DE BILBAO,mesto v Španiji
Área metropolitana de La Coruña,AREA METROPOLITANA DE LA CORUNA,mesto v Španiji
Área metropolitana de Las Palmas de Gran Canaria,AREA METROPOLITANA DE LAS PALMAS DE GRAN CANARIA,mesto v Španiji
Área Metropolitana de Lleida,AREA METROPOLITANA DE LLEIDA,mesto v Španiji
Área metropolitana de Madrid,AREA METROPOLITANA DE MADRID,mesto v Španiji
Área metropolitana de Málaga,AREA METROPOLITANA DE MALAGA,mesto v Španiji
Área metropolitana de Pamplona,AREA METROPOLITANA DE PAMPLONA,mesto v Španiji
Área metropolitana de Santa Cruz de Tenerife,AREA METROPOLITANA DE SANTA CRUZ DE TENERIFE,mesto v Španiji
Área metropolitana de Sevilla,AREA METROPOLITANA DE SEVILLA,mesto v Španiji
Área metropolitana de Valencia,AREA METROPOLITANA DE VALENCIA,mesto v Španiji
Ávila,AVILA,mesto v Španiji
Écija,ECIJA,mesto v Španiji
Éibar,EIBAR,mesto v Španiji
Úbeda,UBEDA,mesto v Španiji
