GESLO,GESLO_NORM,OPIS
Errenteria,ERRENTERIA,mesto v Španiji
Esparraguera,ESPARRAGUERA,mesto v Španiji
Esparreguera,ESPARREGUERA,mesto v Španiji
Espartinas,ESPARTINAS,mesto v Španiji
Esplugas de Llobregat,ESPLUGAS DE LLOBREGAT,mesto v Španiji
Esplugues de Llobregat,ESPLUGUES DE LLOBREGAT,mesto v Španiji
Este Alcosa Torreblanca,ESTE ALCOSA TORREBLANCA,mesto v Španiji
Estepona,ESTEPONA,mesto v Španiji
Extramurs,EXTRAMURS,mesto v Španiji
Felanich,FELANICH,mesto v Španiji
Ferrol,FERROL,mesto v Španiji
Figueras,FIGUERAS,mesto v Španiji
Fraga,FRAGA,mesto v Španiji
Fuencarral,FUENCARRAL,mesto v Španiji
Fuencarral El Pardo,FUENCARRAL EL PARDO,mesto v Španiji
Fuengirola,FUENGIROLA,mesto v Španiji
Fuenlabrada,FUENLABRADA,mesto v Španiji
Fuente Álamo de Murcia,FUENTE ALAMO DE MURCIA,mesto v Španiji
Fuenterrabía,FUENTERRABIA,mesto v Španiji
Gabia Grande,GABIA GRANDE,mesto v Španiji
Galapagar,GALAPAGAR,mesto v Španiji
Galdácano,GALDACANO,mesto v Španiji
Gandía,GANDIA,mesto v Španiji
"Garriga, la","GARRIGA, LA",mesto v Španiji
Gavà,GAVA,mesto v Španiji
Gernika Lumo,GERNIKA LUMO,mesto v Španiji
Gerona,GERONA,mesto v Španiji
Getafe,GETAFE,mesto v Španiji
Gijón,GIJON,mesto v Španiji
Gondomar,GONDOMAR,mesto v Španiji
Granada,GRANADA,mesto v Španiji
Granadilla de Abona,GRANADILLA DE ABONA,mesto v Španiji
Granollers,GRANOLLERS,mesto v Španiji
Guadalajara,GUADALAJARA,mesto v Španiji
Guadarrama,GUADARRAMA,mesto v Španiji
Guadix,GUADIX,mesto v Španiji
Guardamar del Segura,GUARDAMAR DEL SEGURA,mesto v Španiji
Guecho,GUECHO,mesto v Španiji
Guernica y Luno,GUERNICA Y LUNO,mesto v Španiji
Guía de Isora,GUIA DE ISORA,mesto v Španiji
Gáldar,GALDAR,mesto v Španiji
Güímar,GUIMAR,mesto v Španiji
Hellín,HELLIN,mesto v Španiji
Hernani,HERNANI,mesto v Španiji
Horta Guinardó,HORTA GUINARDO,mesto v Španiji
Hortaleza,HORTALEZA,mesto v Španiji
Hospitalet de Llobregat,HOSPITALET DE LLOBREGAT,mesto v Španiji
Huelva,HUELVA,mesto v Španiji
Huesca,HUESCA,mesto v Španiji
Humanes de Madrid,HUMANES DE MADRID,mesto v Španiji
Huércal de Almería,HUERCAL DE ALMERIA,mesto v Španiji
Huércal Overa,HUERCAL OVERA,mesto v Španiji
Ibi,IBI,mesto v Španiji
Ibiza,IBIZA,mesto v Španiji
Icod de los Vinos,ICOD DE LOS VINOS,mesto v Španiji
Igualada,IGUALADA,mesto v Španiji
Illescas,ILLESCAS,mesto v Španiji
Inca,INCA,mesto v Španiji
Ingenio,INGENIO,mesto v Španiji
Irún,IRUN,mesto v Španiji
Isla Cristina,ISLA CRISTINA,mesto v Španiji
Jaén,JAEN,mesto v Španiji
Jerez de la Frontera,JEREZ DE LA FRONTERA,mesto v Španiji
Jinámar,JINAMAR,mesto v Španiji
Jumilla,JUMILLA,mesto v Španiji
Játiva,JATIVA,mesto v Španiji
Jávea,JAVEA,mesto v Španiji
L'Hospitalet de Llobregat,LHOSPITALET DE LLOBREGAT,mesto v Španiji
La Algaba,LA ALGABA,mesto v Španiji
La Cala del Moral,LA CALA DEL MORAL,mesto v Španiji
La Colonia de Santa Eulalia,LA COLONIA DE SANTA EULALIA,mesto v Španiji
La Coruña,LA CORUNA,mesto v Španiji
La Eliana,LA ELIANA,mesto v Španiji
La Estrada,LA ESTRADA,mesto v Španiji
La Florida,LA FLORIDA,mesto v Španiji
La Garriga,LA GARRIGA,mesto v Španiji
La Línea de la Concepción,LA LINEA DE LA CONCEPCION,mesto v Španiji
La Nucía,LA NUCIA,mesto v Španiji
La Oliva,LA OLIVA,mesto v Španiji
La Orotava,LA OROTAVA,mesto v Španiji
la Pubilla Casas,LA PUBILLA CASAS,mesto v Španiji
La Rinconada,LA RINCONADA,mesto v Španiji
La Roda,LA RODA,mesto v Španiji
La Solana,LA SOLANA,mesto v Španiji
La Unión,LA UNION,mesto v Španiji
La Zaidía,LA ZAIDIA,mesto v Španiji
La Zubia,LA ZUBIA,mesto v Španiji
Laguna de Duero,LAGUNA DE DUERO,mesto v Španiji
Lalín,LALIN,mesto v Španiji
Langreo,LANGREO,mesto v Španiji
Las Cabezas de San Juan,LAS CABEZAS DE SAN JUAN,mesto v Španiji
Las Gabias,LAS GABIAS,mesto v Španiji
Las Palmas de Gran Canaria,LAS PALMAS DE GRAN CANARIA,mesto v Španiji
Las Rozas de Madrid,LAS ROZAS DE MADRID,mesto v Španiji
Las Torres de Cotillas,LAS TORRES DE COTILLAS,mesto v Španiji
Lasarte Oria,LASARTE ORIA,mesto v Španiji
Latina,LATINA,mesto v Španiji
Lebrija,LEBRIJA,mesto v Španiji
Leganés,LEGANES,mesto v Španiji
Lejona,LEJONA,mesto v Španiji
Lepe,LEPE,mesto v Španiji
Les Franqueses del Vallès,LES FRANQUESES DEL VALLES,mesto v Španiji
León,LEON,mesto v Španiji
Linares,LINARES,mesto v Španiji
Liria,LIRIA,mesto v Španiji
Llissá de Munt,LLISSA DE MUNT,mesto v Španiji
Llodio,LLODIO,mesto v Španiji
Lloret de Mar,LLORET DE MAR,mesto v Španiji
Lluchmayor,LLUCHMAYOR,mesto v Španiji
Llucmajor,LLUCMAJOR,mesto v Španiji
Logroño,LOGRONO,mesto v Španiji
Loja,LOJA,mesto v Španiji
Lora del Río,LORA DEL RIO,mesto v Španiji
Lorca,LORCA,mesto v Španiji
Los Alcázares,LOS ALCAZARES,mesto v Španiji
Los Barrios,LOS BARRIOS,mesto v Španiji
Los Llanos de Aridane,LOS LLANOS DE ARIDANE,mesto v Španiji
Los Palacios y Villafranca,LOS PALACIOS Y VILLAFRANCA,mesto v Španiji
Los Realejos,LOS REALEJOS,mesto v Španiji
Los Remedios,LOS REMEDIOS,mesto v Španiji
Lucena,LUCENA,mesto v Španiji
Lugo,LUGO,mesto v Španiji
Lérida,LERIDA,mesto v Španiji
Madrid,MADRID,mesto v Španiji
Mahón,MAHON,mesto v Španiji
Mairena del Alcor,MAIRENA DEL ALCOR,mesto v Španiji
Mairena del Aljarafe,MAIRENA DEL ALJARAFE,mesto v Španiji
Majadahonda,MAJADAHONDA,mesto v Španiji
Malgrat de Mar,MALGRAT DE MAR,mesto v Španiji
Manacor,MANACOR,mesto v Španiji
Manilva,MANILVA,mesto v Španiji
Manises,MANISES,mesto v Španiji
Manlleu,MANLLEU,mesto v Španiji
Manresa,MANRESA,mesto v Španiji
Manzanares,MANZANARES,mesto v Španiji
Maracena,MARACENA,mesto v Španiji
Marbella,MARBELLA,mesto v Španiji
Marchena,MARCHENA,mesto v Španiji
Marrachí,MARRACHI,mesto v Španiji
Martorell,MARTORELL,mesto v Španiji
Martos,MARTOS,mesto v Španiji
Marín,MARIN,mesto v Španiji
Masamagrell,MASAMAGRELL,mesto v Španiji
Mataró,MATARO,mesto v Španiji
Mazarrón,MAZARRON,mesto v Španiji
Maó,MAO,mesto v Španiji
Meco,MECO,mesto v Španiji
Medina del Campo,MEDINA DEL CAMPO,mesto v Španiji
Mejorada del Campo,MEJORADA DEL CAMPO,mesto v Španiji
Melilla,MELILLA,mesto v Španiji
Mieres,MIERES,mesto v Španiji
Mieres del Camino,MIERES DEL CAMINO,mesto v Španiji
Miguelturra,MIGUELTURRA,mesto v Španiji
Mijas,MIJAS,mesto v Španiji
Miranda de Ebro,MIRANDA DE EBRO,mesto v Španiji
Mislata,MISLATA,mesto v Španiji
Moaña,MOANA,mesto v Španiji
Moguer,MOGUER,mesto v Španiji
Mogán,MOGAN,mesto v Španiji
Molina de Segura,MOLINA DE SEGURA,mesto v Španiji
Molins de Rei,MOLINS DE REI,mesto v Španiji
Molins de Rey,MOLINS DE REY,mesto v Španiji
Mollerusa,MOLLERUSA,mesto v Španiji
Mollerussa,MOLLERUSSA,mesto v Španiji
Mollet del Vallès,MOLLET DEL VALLES,mesto v Španiji
Moncada,MONCADA,mesto v Španiji
Moncada y Reixach,MONCADA Y REIXACH,mesto v Španiji
Moncloa Aravaca,MONCLOA ARAVACA,mesto v Španiji
Mondragón,MONDRAGON,mesto v Španiji
Monforte de Lemos,MONFORTE DE LEMOS,mesto v Španiji
Montijo,MONTIJO,mesto v Španiji
Montilla,MONTILLA,mesto v Španiji
Montornés del Vallés,MONTORNES DEL VALLES,mesto v Španiji
Monzón,MONZON,mesto v Španiji
Moratalaz,MORATALAZ,mesto v Španiji
Morón de la Frontera,MORON DE LA FRONTERA,mesto v Španiji
Mos,MOS,mesto v Španiji
Motril,MOTRIL,mesto v Španiji
Muchamiel,MUCHAMIEL,mesto v Španiji
Mula,MULA,mesto v Španiji
Munguía,MUNGUIA,mesto v Španiji
Murcia,MURCIA,mesto v Španiji
Málaga,MALAGA,mesto v Španiji
Mérida,MERIDA,mesto v Španiji
Móstoles,MOSTOLES,mesto v Španiji
Narón,NARON,mesto v Španiji
Navalcarnero,NAVALCARNERO,mesto v Španiji
